Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
9908,Ursolic acid,HMDB0002395,64945,9908,C08988,NA,[H][C@@]12[C@@H](C)[C@H](C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,1
9948,NA,NA,NA,NA,NA,NA,NA,0
9951,NA,NA,NA,NA,NA,NA,NA,0
8707,Quetiapine,HMDB0005021,5002,8707,C07397,NA,OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,1
8711,Quinacrine,HMDB0015235,237,8711,C07339,NA,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2,1
8768,Rabeprazole,HMDB0005026,5029,8768,C07864,NA,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1,1
2972,Baclofen,HMDB0014327,2284,2972,NA,NA,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,1
2980,NA,NA,NA,NA,NA,NA,NA,0
1189,2-Methoxyestrone,HMDB0000010,440624,1189,C05299,2578,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,1
1224,2-Nitrofluorene,HMDB0245257,11831,1224,C10923,NA,O=N(=O)C1=CC=C2C(CC3=CC=CC=C23)=C1,1
1547,Hydroxykynurenine,HMDB0000732,89,1547,C02794,5700,NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O,1
6762,Mepyramine,HMDB0015639,4992,6762,C11798,NA,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,1
6804,Methacholine,HMDB0015654,1993,6804,C07471,NA,CC(C[N+](C)(C)C)OC(C)=O,1
6888,Methylprednisolone,HMDB0015094,6741,6888,NA,NA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,1
6904,Metoprolol,HMDB0001932,4171,6904,C07202,1250,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1
6908,Trichlorfon,HMDB0254686,5853,6908,C07971,NA,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1
3918,(all-E)-Crocetin,HMDB0035098,124350893,3918,C08588,NA,C\C(\C=C\C=C(/C)C(O)=O)=C\C=C\C=C(/C)\C=C\C=C(\C)C(O)=O,1
3000,NA,NA,NA,NA,NA,NA,NA,0
3001,NA,NA,NA,NA,NA,NA,NA,0
3061,Bepridil,HMDB0015374,2351,3061,C06847,NA,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,1
